"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Lượt hiển thị","Người tiếp cận","Tổng số người liên hệ nhắn tin","Người liên hệ nhắn tin mới","Lượt mua","Kết thúc","Cài đặt ghi nhận","Chi phí trên mỗi lượt mua (VND)","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)"
2026-04-16,2026-04-16,"Chiến dịch Lượt tương tác mới",inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,"Chiến dịch Lưu lượng truy cập mới",inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-damthietkeevii-0411,inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-damthietkecoduc-0411,inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-chanvayrendai-0411,not_delivering,192,actions:link_click,493.07291667,"Sử dụng ngân sách nhóm quảng cáo",0,94670,2580,2400,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-chanvayrenngan-0411,inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra",-,,,
2026-04-16,2026-04-16,MuseStudio-quanchunbong-0411,inactive,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-aosomianhnhu-0416,not_delivering,38,actions:link_click,1160.76315789,"Sử dụng ngân sách nhóm quảng cáo",0,44109,1192,1112,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-aosomivoanto-0416,not_delivering,129,actions:link_click,757.7751938,"Sử dụng ngân sách nhóm quảng cáo",0,97753,3203,2956,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-setbothuntamcotru-0416,not_delivering,57,actions:link_click,982.07017544,"Sử dụng ngân sách nhóm quảng cáo",0,55978,1488,1394,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-dobolinento-0416,not_delivering,35,actions:link_click,1283.94285714,"Sử dụng ngân sách nhóm quảng cáo",0,44938,923,873,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-combomutuidibien-0416,not_delivering,13,actions:link_click,1160.69230769,"Sử dụng ngân sách nhóm quảng cáo",0,15089,392,362,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-tuicoimucoidibien-0416,not_delivering,21,actions:link_click,1142.9047619,"Sử dụng ngân sách nhóm quảng cáo",0,24001,528,495,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-ChanVayChuA-0416,not_delivering,31,actions:link_click,829.58064516,"Sử dụng ngân sách nhóm quảng cáo",0,25717,596,565,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-ChanVayXoeBong-0416,not_delivering,16,actions:link_click,1127.9375,"Sử dụng ngân sách nhóm quảng cáo",0,18047,515,486,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-DepMERCY-0416,not_delivering,20,actions:link_click,1219.7,"Sử dụng ngân sách nhóm quảng cáo",0,24394,945,914,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-quanjeannuongsuong-0416,not_delivering,3,actions:link_click,3968,"Sử dụng ngân sách nhóm quảng cáo",0,11904,312,295,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-giaycaogotmuivuong-0416,not_delivering,34,actions:link_click,879.70588235,"Sử dụng ngân sách nhóm quảng cáo",0,29910,1063,1018,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-quanjeannuongsuong2-0416,not_delivering,33,actions:link_click,978.57575758,"Sử dụng ngân sách nhóm quảng cáo",0,32293,775,726,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-quanjeanloangbui-0416,not_delivering,10,actions:link_click,1166.8,"Sử dụng ngân sách nhóm quảng cáo",0,11668,297,273,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-aosomiketayphong-0416,not_delivering,36,actions:link_click,935.33333333,"Sử dụng ngân sách nhóm quảng cáo",0,33672,1000,958,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-aotodinhdaxanhdam2-0416,not_delivering,86,actions:link_click,581.94186047,"Sử dụng ngân sách nhóm quảng cáo",0,50047,1467,1402,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-dambodylechvai-0416,not_delivering,13,actions:link_click,1792.92307692,"Sử dụng ngân sách nhóm quảng cáo",0,23308,721,669,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-16,2026-04-16,MuseStudio-dambodynuluatochau-0416,not_delivering,57,actions:link_click,867.36842105,"Sử dụng ngân sách nhóm quảng cáo",0,49440,965,867,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
