"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-16,2026-04-16,"Chiến dịch Lượt tương tác mới",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-16,2026-04-16,"Chiến dịch Lưu lượng truy cập mới",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-16,2026-04-16,MuseStudio-damthietkeevii-0411,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-16,2026-04-16,MuseStudio-damthietkecoduc-0411,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-16,2026-04-16,MuseStudio-chanvayrendai-0411,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",192,actions:link_click,2400,1.075,493.07291667,"Sử dụng ngân sách nhóm quảng cáo",0,94670,"Đang diễn ra",2580,36693.79845,192,,493.072917,7.44186,278,10.775194,340.539568,1,94670
2026-04-16,2026-04-16,MuseStudio-chanvayrenngan-0411,inactive,-,,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-16,2026-04-16,MuseStudio-quanchunbong-0411,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách nhóm quảng cáo",0,0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-16,2026-04-16,MuseStudio-aosomianhnhu-0416,not_delivering,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",38,actions:link_click,1112,1.071942,1160.76315789,"Sử dụng ngân sách nhóm quảng cáo",0,44109,"Đang diễn ra",1192,37004.194631,38,,1160.763158,3.187919,55,4.614094,801.981818,,
2026-04-16,2026-04-16,MuseStudio-aosomivoanto-0416,not_delivering,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",129,actions:link_click,2956,1.083559,757.7751938,"Sử dụng ngân sách nhóm quảng cáo",0,97753,"Đang diễn ra",3203,30519.200749,129,,757.775194,4.027474,203,6.337808,481.541872,,
2026-04-16,2026-04-16,MuseStudio-setbothuntamcotru-0416,not_delivering,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",57,actions:link_click,1394,1.067432,982.07017544,"Sử dụng ngân sách nhóm quảng cáo",0,55978,"Đang diễn ra",1488,37619.623656,57,,982.070175,3.830645,81,5.443548,691.08642,,
