"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên nhóm quảng cáo","Phân phối nhóm quảng cáo","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Bắt đầu","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-17,2026-04-17,"Nhóm quảng cáo Lượt tương tác mới",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,82000,"Hàng ngày",0,"Đang diễn ra",2026-04-10,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,"Nhóm quảng cáo Lưu lượng truy cập mới",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,101000,"Hàng ngày",0,"Đang diễn ra",2026-04-10,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-damthietkeevii-0411,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,400000,"Hàng ngày",0,"Đang diễn ra",2026-04-11,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-damthietkecoduc-0411,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,100000,"Hàng ngày",0,"Đang diễn ra",2026-04-11,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-chanvayrendai-0411,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",259,actions:link_click,3386,1.074129,463.12741313,251000,"Hàng ngày",119950,"Đang diễn ra",2026-04-11,3637,32980.478416,259,,463.127413,7.121254,372,10.22821,322.446237,1,119950
2026-04-17,2026-04-17,MuseStudio-chanvayrenngan-0411,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,400000,"Hàng ngày",0,"Đang diễn ra",2026-04-11,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-quanchunbong-0411,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,400000,"Hàng ngày",0,"Đang diễn ra",2026-04-11,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-aosomianhnhu-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-aosomivoanto-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",166,actions:link_click,3279,1.040561,720.24698795,141000,"Hàng ngày",119561,"Đang diễn ra",2026-04-15,3412,35041.324736,166,,720.246988,4.865182,241,7.063306,496.103734,,
2026-04-17,2026-04-17,MuseStudio-setbothuntamcotru-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-dobolinento-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-combomutuidibien-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-tuicoimucoidibien-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-ChanVayChuA-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-ChanVayXoeBong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-DepMERCY-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-quanjeannuongsuong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-giaycaogotmuivuong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-quanjeannuongsuong2-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-quanjeanloangbui-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-aosomiketayphong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
2026-04-17,2026-04-17,MuseStudio-aotodinhdaxanhdam2-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",257,actions:link_click,4265,1.102227,470.11673152,190000,"Hàng ngày",120820,"Đang diễn ra",2026-04-16,4701,25700.914699,257,,470.116732,5.466922,373,7.934482,323.914209,1,120820
2026-04-17,2026-04-17,MuseStudio-dambodylechvai-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,121000,"Hàng ngày",0,"Đang diễn ra",2026-04-16,0,0,,,,,0,0,0,,
