ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
260416V7H7J08V,Đang chờ xử lý,229970167228607,2026-04-15 23:36:08,,2026-04-13 01:02:37,simihouse,51311191,Preferred(Non-CB),53756862962,( SIMI.STUDIO ) Váy Body Lưới Cánh Tiên Cao Cấp QC V778 / ĐẦM BODY LƯỚI HOẠ TIẾT 2026,420613930948,Normal Product,,Thời Trang Nữ,Đầm,,369999,1,XTRA Comm,,310799,,20.00%,20000,6.00%,18647.94,38647.94,20000,18647.94,38647.94,,0,0.00%,0,100.00%,38647.94,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,vaykhongtaycochuv,,,,,Others
260416V6QEPGGH,Đang chờ xử lý,229969303293720,2026-04-15 23:22:04,,2026-04-15 23:14:47,ZEESEA Official Store,251112545,Shopee Mall(CB),11339289347,Kem nền Zeesea dạng lỏng che khuyết điểm kiềm dầu hiệu quả lâu trôi 30ml,57117844824,Normal Product,,Sắc Đẹp,Trang điểm,Trang điểm mặt,159000,1,XTRA Comm,,125584,,20.00%,20000,6.00%,7535.04,27535.04,20000,7535.04,27535.04,,0,0.00%,0,100.00%,27535.04,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,vaykhongtaycochuv,,,,,Others
260416V6750WXW,Đang chờ xử lý,229968755276600,2026-04-15 23:12:35,,2026-04-15 21:20:47,Phụ Kiện.88 - Ốp lưng cao cấp,121812485,Preferred(Non-CB),43877933115,"Ốp lưng Samsung A13 / A23 4G / A33 / A53 / A73 5G in hình huy hiệu rồng, bảo vệ camera",249141613323,Normal Product,,Điện Thoại & Phụ Kiện,Phụ kiện,"Vỏ bao, Ốp lưng & Miếng dán",37730,1,XTRA Comm,,32730,,20.00%,6546,1.50%,490.95,7036.95,6546,490.95,7036.95,,0,0.00%,0,100.00%,7036.95,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
260415V505JW27,Đang chờ xử lý,229967447244941,2026-04-15 22:50:51,,2026-04-15 22:18:05,Delilah - Store,1351056035,C2C(Non-CB),28725066532,"Máy Say Sinh Tố Cầm Tay Mini Ostmars Sạc Tích Điện,Máy Xay Mini Cầm Tay 10 Lưỡi Dao Đa Năng Nhỏ Gọn Dung Tích 500ml",247619463012,Normal Product,,Thiết Bị Điện Gia Dụng,Đồ gia dụng nhà bếp,"Máy ép, Xay sinh tố & Máy làm sữa đậu nành",275000,1,XTRA Comm,,275000,,20.00%,20000,1.50%,4125,24125,20000,4125,24125,,0,0.00%,0,100.00%,24125,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,vaykhongtaycochuv,,,,,Facebook
260415V4BQC930,Đang chờ xử lý,229966761266704,2026-04-15 22:39:21,,2026-04-15 22:38:37,titistore995,1424777520,Preferred(Non-CB),56357798971,Chân váy ren Titistore95 xòe bồng 2 lớp dài 85cm cạp chun siêu xinh,330693790508,Normal Product,,Thời Trang Nữ,Váy,,189000,1,XTRA Comm,,164430,,20.00%,20000,10.00%,16443,36443,20000,16443,36443,,0,0.00%,0,100.00%,36443,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,MuseStudio,chanvayrendai,,,,Facebook
260415V3JNBFNC,Đang chờ xử lý,229965920273215,2026-04-15 22:25:20,,2026-04-15 22:20:29,phu_kien_giadinh,49744423,Preferred(Non-CB),2556043739,ANTEN Thông Minh 360 Kỹ Thuật Số DVB T2 Model HJD 102 T2 (Chính Hãng) - Ăng ten tivi trong nhà DVB,22913404596,Normal Product,,Thiết Bị Điện Gia Dụng,Tivi & Phụ kiện,Ăng ten Tivi,198000,1,Shopee Comm,,170280,,20.00%,20000,0.00%,0,20000,20000,0,20000,,0,0.00%,0,100.00%,20000,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,dammaxi,,,,,Facebook
260415V308WK0S,Đang chờ xử lý,229965303257984,2026-04-15 22:15:03,,2026-04-15 22:10:59,Hoàng Anh Kid Shop ,1224173684,Preferred(Non-CB),28337272416,"bộ quần áo Polo mix quần chất liệu cotton co giãn thỏa mái in hình khủng long , gấu cho bé trai 8-20kg",208545036382,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo bé trai,Áo,69760,1,XTRA Comm,,34960,,0.00%,0,5.00%,1748,1748,0,1748,1748,,0,0.00%,0,100.00%,1748,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
260415V2RUERCF,Đang chờ xử lý,229965054255715,2026-04-15 22:10:55,,2026-04-15 22:08:43,Minh Châu - Túi xách,1040436480,Preferred(Non-CB),43106013382,"Ba lô đi học, ba lô đi chơi da vân cá khóa xoay 2 ngăn N706",260504202578,Normal Product,,Túi Ví Nữ,Ba lô,,122000,1,Shopee Comm,,109800,,20.00%,20000,0.00%,0,20000,20000,0,20000,,0,0.00%,0,100.00%,20000,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
260415V2Q4428V,Đang chờ xử lý,229964996236486,2026-04-15 22:09:56,,2026-04-15 22:09:00,Sharma_shop,724591375,Preferred(Non-CB),24834646652,Áo khoác dù có nón nữ form rộng Jemcloset - Áo khoác vải dù nữ có túi trong GANT chất vải dù xốp mịn,246448741163,Normal Product,,Thời Trang Nữ,Áo khoác,Áo khoác ngoài,146020,1,Shopee Comm,,128497,,20.00%,20000,0.00%,0,20000,20000,0,20000,,0,0.00%,0,100.00%,20000,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,dammaxi,,,,,Facebook
260415V2P9DYX4,Đang chờ xử lý,229964968256917,2026-04-15 22:09:29,,2026-04-15 21:32:20,jassmine.clothing,718369595,C2C(Non-CB),43802093231,"Váy Maxi Nữ, Váy 2 Dây, Váy Cổ U Dáng Dài Đi Biển Đính Cúc Siêu Xinh",375694061626,Normal Product,,Thời Trang Nữ,Đầm,,255000,1,XTRA Comm,,199600,,20.00%,20000,4.50%,8982,28982,20000,8982,28982,,0,0.00%,0,100.00%,28982,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,dammaxi,,,,,Others
