ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
260420969VRFQQ,Đang chờ xử lý,230316012241762,2026-04-19 23:40:16,,2026-04-19 11:30:49,Hp_vn,1394512316,C2C(Non-CB),51058542624,"Điện thoại Samsung A17 5G (RAM 8GB + ROM 256GB) màn hình 6.7"" FHD+ | Camera chính 50MP | Pin 5000mAh | Hàng chính hãng S",400784771683,Normal Product,,Điện Thoại & Phụ Kiện,Điện thoại,,3999000,1,XTRA Comm,,3393965,,20.00%,20000,2.00%,67879.3,87879.3,20000,67879.3,87879.3,,0,0.00%,0,100.00%,87879.3,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
260420956HQ97B,Đang chờ xử lý,230314826264722,2026-04-19 23:20:26,,2026-04-19 23:18:13,Eva Design- Sơ mi hoạ tiết,186526630,C2C(Non-CB),28629681843,Áo Sơ Mi Nữ Dài Tay Lụa Voan Mỏng Hoạ Tiết Sọc Đen,271661903884,Normal Product,,Thời Trang Nữ,Áo,Áo sơ mi,175000,1,XTRA Comm,,175000,,20.00%,20000,10.00%,17500,37500,20000,17500,37500,,0,0.00%,0,100.00%,37500,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Others
260419936RTSFC,Đang chờ xử lý,230312686241804,2026-04-19 22:44:50,,2026-04-19 21:08:35,NQT Thời trang côngsở,1539430356,C2C(Non-CB),40412203411,"Áo sơmi nữ dài tay chất  liệu tơ nhăn, thiết kế NQT boutique phong cách công sở, hoạ tiết đính đá nền xanh cô ban.(Mỏng)",253723909451,Normal Product,,Thời Trang Nữ,Áo,Áo sơ mi,176250,1,Shopee Comm,,153337,,20.00%,20000,0.00%,0,20000,20000,0,20000,,0,0.00%,0,100.00%,20000,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
260419916S8WWQ,Đang chờ xử lý,230310539223321,2026-04-19 22:09:00,,2026-04-19 21:58:04,Bi Bon Shop,44393526,C2C(Non-CB),41823014817,"Set Bộ Thể Thao Nữ Badblood cổ tim chất liệu cotton, Fom dáng chuẩn dủ size số từ 40-65kg",291870922144,Normal Product,,Thời Trang Nữ,Bộ,Khác,108000,1,XTRA Comm,,108000,,20.00%,20000,8.00%,8640,28640,20000,8640,28640,,0,0.00%,0,100.00%,28640,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Others
26041990VWNSJP,Đang chờ xử lý,230310209298243,2026-04-19 22:03:50,,2026-04-19 21:58:04,Bi Bon Shop,44393526,C2C(Non-CB),41823014817,"Set Bộ Thể Thao Nữ Badblood cổ tim chất liệu cotton, Fom dáng chuẩn dủ size số từ 40-65kg",291870922148,Normal Product,,Thời Trang Nữ,Bộ,Khác,108000,1,XTRA Comm,,108000,,20.00%,20000,8.00%,8640,28640,20000,8640,28640,,0,0.00%,0,100.00%,28640,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Others
26041990U977VE,Đang chờ xử lý,230310153280117,2026-04-19 22:02:33,,2026-04-19 21:58:04,Bi Bon Shop,44393526,C2C(Non-CB),41823014817,"Set Bộ Thể Thao Nữ Badblood cổ tim chất liệu cotton, Fom dáng chuẩn dủ size số từ 40-65kg",291870922148,Normal Product,,Thời Trang Nữ,Bộ,Khác,108000,1,XTRA Comm,,48000,,30.00%,14400,8.00%,3840,18240,14400,3840,18240,,0,0.00%,0,100.00%,18240,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Mới,MuseStudio,aotodinhdaxanhdamdaitay,,,,Others
2604199016RFTK,Đang chờ xử lý,230309279298308,2026-04-19 21:48:20,,2026-04-17 18:54:46,asunmee,603204522,C2C(Non-CB),27612910249,"Kem Chống Nắng Asun SPF50+ PA++++ Nâng Tone Da Tự Nhiên – Kiềm Dầu, Chống Tia UV, Dưỡng Ẩm - Mua 2 Tặng 1 Son",187849438735,Normal Product,,Sắc Đẹp,Chăm sóc da mặt,Kem chống nắng cho mặt,127000,1,Shopee Comm,,127000,,20.00%,20000,0.00%,0,20000,20000,0,20000,,0,0.00%,0,100.00%,20000,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
2604198Y5W3TPC,Đang chờ xử lý,230308362206277,2026-04-19 21:32:42,,2026-04-19 13:49:34,Đồ Chơi Hoàn Thành,306111342,Preferred(Non-CB),18890065783,"Bảng vẽ tự xóa điện tử, bảng viết vẽ thông minh cỡ lớn màn hình LCD đa sắc đồ họa đẹp kèm bút dạy học",258519050394,Normal Product,,Mẹ & Bé,Đồ chơi,Đồ chơi giáo dục,205000,1,Shopee Comm,,205000,,20.00%,20000,0.00%,0,20000,20000,0,20000,,0,0.00%,0,100.00%,20000,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
2604198Y23200U,Đang chờ xử lý,230308234227952,2026-04-19 21:30:35,,2026-04-19 15:05:11,CHANH XẢ SHOP - ỐP CHỐNG BẨN,30674096,C2C(Non-CB),24319436430,"bộ sạc nhanh 20.W ( Củ P.D 20.W + Dây sạc nhanh Ty.pe -C ) không nóng máy, an toàn ổn định cho điện thoại",176381669332,Normal Product,,Điện Thoại & Phụ Kiện,Phụ kiện,"Cáp, sạc & bộ chuyển đổi",22900,1,XTRA Comm,,22900,,20.00%,4580,2.50%,572.5,5152.5,4580,572.5,5152.5,,0,0.00%,0,100.00%,5152.5,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Others
2604198VY0BR3R,Đang chờ xử lý,230305983256568,2026-04-19 20:53:03,,2026-04-17 18:57:20,GẤU BÔNG HICAT,1359837824,C2C(Non-CB),43465547471,"GỐI ĐI XE MÁY HOẠ TIẾT GẤU CON (26x35cm), MỀM MỊN AN TOÀN CHO BÉ",272497266670,Normal Product,,Mẹ & Bé,Đồ dùng du lịch cho bé,Phụ kiện ghế ngồi ô tô & xe máy,65005,1,XTRA Comm,,65005,,20.00%,13001,3.50%,2275.175,15276.175,13001,2275.175,15276.175,,0,0.00%,0,100.00%,15276.175,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
2604198VNVJUNK,Đang chờ xử lý,230305678299188,2026-04-19 20:48:19,,2026-04-19 16:57:36,HugeCase,1475691621,Preferred(Non-CB),28978246714,Ốp Lưng OPPO A57 2022 A77 2022 A57s A57e A77s Ốp Case,185841861755,Normal Product,,Điện Thoại & Phụ Kiện,Phụ kiện,"Vỏ bao, Ốp lưng & Miếng dán",31165,1,Shopee Comm,,28688,,20.00%,5737.6,0.00%,0,5737.6,5737.6,0,5737.6,,0,0.00%,0,100.00%,5737.6,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Others
2604198VK4RVGK,Đang chờ xử lý,230305585225130,2026-04-19 20:46:25,,2026-04-19 20:45:26,3belove,1780499309,C2C(Non-CB),54507949565,Áo Thun Kiểu Nữ Ngắn Tay Cổ V Phối Viền Ren Có Dây Thắt Nơ Xinh Xắn Chất Thun Cotton Mịn Co Giãn Mặc Mát Mẻ WAT067,445706503667,Normal Product,,Thời Trang Nữ,Áo,Áo thun,40000,1,XTRA Comm,,0,,30.00%,0,10.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Mới,MuseStudio,aotodinhdaxanhdamdaitay,,,,Others
2604198U6TNM3N,Đang chờ xử lý,230304098236298,2026-04-19 20:21:38,,2026-04-19 19:42:19,Siêu thị Làm Vườn GreenHome,26650766,Shopee Mall(Non-CB),3438460415,"3 Gói Phân Bón Lá Atonik GreenHome, Gói 10ml, Thúc Đẩy Sinh Trưởng Cây Trồng Chuyên Lan, Hoa Hồng",440632844556,Normal Product,,Nhà cửa & Đời sống,Làm vườn,Hạt giống & chất hỗ trợ trồng cây,68700,1,XTRA Comm,,68700,,20.00%,13740,5.00%,3435,17175,13740,3435,17175,,0,0.00%,0,100.00%,17175,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,MuseStudio,aotodinhdaxanhdamdaitay,,,,Facebook
