ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
260416V7QHQ66M,Đang chờ xử lý,229970379205087,2026-04-15 23:39:40,,2026-04-15 23:34:22,DECCI - Tổng Kho Áo Phao,253662157,Preferred(Non-CB),54005566189,(HOT) Áo babydoll thêu hoa nhí kiểu xinh tay phồng thắt nơ tieu thư-DECCI.CLOTHER,365503532935,Normal Product,,Thời Trang Nữ,Áo,Áo sơ mi,79000,1,Shopee Comm,,74000,,7.00%,5180,0.00%,0,5180,5180,0,5180,,0,0.00%,0,100.00%,5180,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,AoBabyDool,,,,,Facebook
260416V6M5Q33V,Đang chờ xử lý,229969192214551,2026-04-15 23:19:53,,2026-04-15 23:17:53,PHỤ KIỆN 3C Yanlong,1697562862,C2C(Non-CB),54555294634,"Kính cường lực Khung  Iphone Tự Dán Chống Nhìn Trộm, trong  suốt IphoneFULL HỘP Cho ip 12/13/X/Xsmax/11promax/17promax",244153645294,Normal Product,,Điện Thoại & Phụ Kiện,Phụ kiện,Miếng dán màn hình,18200,5,XTRA Comm,,79170,,4.00%,3166.8,15.00%,11875.5,15042.3,3166.8,11875.5,15042.3,,0,0.00%,0,100.00%,15042.3,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,VayCoYem,,,,,Others
260415V5BSJ4VD,Đang chờ xử lý,229967838294393,2026-04-15 22:57:39,,2026-04-15 22:55:41,LETSPO,1600985654,Preferred(Non-CB),55757963141,"Chuột Không Dây Im Lặng Màu Morandi - Hỗ Trợ Bluetooth 2.4G, Chống Trượt, Sạc Tiện Lợi Hoặc Dùng Pin",330707589059,Normal Product,,Máy tính & Laptop,Chuột & Bàn Phím,Chuột Máy Tính,69900,1,XTRA Comm,,69900,,4.00%,2796,5.00%,3495,6291,2796,3495,6291,,0,0.00%,0,100.00%,6291,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,DamDuTiecCupNguc,,,,,Facebook
260415V5AR5U45,Đang chờ xử lý,229967802282825,2026-04-15 22:56:42,,2026-04-15 17:20:58,Naris Việt Nam,77585981,Shopee Mall(Non-CB),4807735922,Gel chống nắng nâng tông Naris Parasola Illumi Skin UV Essence SPF50+/PA++++ 80gr,90064748252,Normal Product,,Sắc Đẹp,Chăm sóc da mặt,Kem chống nắng cho mặt,364500,1,XTRA Comm,,285180,,4.00%,11407.2,7.00%,19962.6,31369.8,11407.2,19962.6,31369.8,,0,0.00%,0,100.00%,31369.8,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,DamBody2Day,,,,,Facebook
260415V4G6F2XW,Đang chờ xử lý,229966912299028,2026-04-15 22:42:12,,2026-04-15 15:14:12,TopGia HCM,729014007,Shopee Mall(Non-CB),24491019937,"Khăn giấy vệ sinh treo tường Tiểu Hạ 1000 tờ làm từ bột gỗ thiên nhiên, an toàn, 6 bịch hoặc 10 bịch",275467013755,Normal Product,,Nhà cửa & Đời sống,Dụng cụ chăm sóc nhà cửa,Giấy vệ sinh,109000,1,XTRA Comm,,94197,,4.00%,3767.88,4.00%,3767.88,7535.76,3767.88,3767.88,7535.76,,0,0.00%,0,100.00%,7535.76,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,VayCoYem,,,,,Others
260415V3YSUXKE,Đang chờ xử lý,229966361219464,2026-04-15 22:32:41,,2026-04-15 22:31:32,Viola Kids,585762179,Preferred(Non-CB),41051017664,"Set đồ đi chơi bé gái sát nách, bộ đồ mùa hè cho bé gái size từ 10-26kg cực mát cực xinh họa tiết cute ST1 Viola Kids",305081347565,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo bé gái,Com lê & đồ bộ,117900,1,XTRA Comm,,103752,,7.00%,7262.64,5.00%,5187.6,12450.24,7262.64,5187.6,12450.24,,0,0.00%,0,100.00%,12450.24,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,VayCoYem,,,,,Others
260415V3RAJCKM,Đang chờ xử lý,229966111291973,2026-04-15 22:28:52,,2026-04-15 22:27:24,Jinnie Boutique,863375365,C2C(Non-CB),29682933455,Váy cổ yếm dáng bí phồng kẻ caro tiểu thư sang chảnh Jinnie Dress Đầm hở vai bo chun tôn eo hàn quốc,227739445491,Normal Product,,Thời Trang Nữ,Đầm,,195000,1,XTRA Comm,,153990,,7.00%,10779.3,3.00%,4619.7,15399,10779.3,4619.7,15399,,0,0.00%,0,100.00%,15399,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,VayCoYem,,,,,Facebook
260415V1DB3FP6,Đang chờ xử lý,229963594277103,2026-04-15 21:46:34,,2026-04-15 19:11:11,Dion Kids,1236568529,C2C(Non-CB),40173772006,"Dép lê dễ thương cho bé gái charm thỏ nơ hồng chất liệu EVA cao cấp an toàn, siêu nhẹ, êm chân cho bé trai",261930727365,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Giày bé gái,Dép lê,130000,1,XTRA Comm,,110000,,4.00%,4400,1.00%,1100,5500,4400,1100,5500,,0,0.00%,0,100.00%,5500,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,VayCoYem,,,,,Facebook
260415V0FSY0HK,Đang chờ xử lý,229962603225472,2026-04-15 21:30:04,,2026-04-15 19:54:17,Kho sỉ Lan Trường,452243240,C2C(Non-CB),24143559591,Bộ kim chỉ 21 món,185955061174,Normal Product,,Sở thích & Sưu tầm,Dụng Cụ May Vá,,59000,1,XTRA Comm,,59000,,4.00%,2360,5.00%,2950,5310,2360,2950,5310,,0,0.00%,0,100.00%,5310,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,VayBungXoe,,,,,Others
260415V0BMG6K4,Đang chờ xử lý,229962463278502,2026-04-15 21:27:43,,2026-04-15 20:07:26,yddm.vn.vn,459561423,Preferred(CB),19928522610,Kính Mát Gọng Vuông Lớn Chống Tia Cực Tím Thời Trang Cao Cấp Cho Nữ,145307674058,Normal Product,,Phụ Kiện Thời Trang,Kính mắt,Kính mát,46333,1,XTRA Comm,,46333,,4.00%,1853.32,6.00%,2779.98,4633.3,1853.32,2779.98,4633.3,,0,0.00%,0,100.00%,4633.3,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,VayCoYem,,,,,Facebook
