"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-16,2026-04-16,"[14/4/2026] Quảng cáo Chic-Land",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,52934,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-16,2026-04-16,MuseStudio-damthietkeevii-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",31,actions:link_click,1121,1.111508,979.51612903,"Sử dụng ngân sách nhóm quảng cáo",0,30365,"Đang diễn ra",1246,24369.983949,31,,979.516129,2.487961,47,3.772071,646.06383,1,30365
2026-04-16,2026-04-16,MuseStudio-chanvayrenngan-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",27,actions:link_click,1029,1.044704,1167.88888889,"Sử dụng ngân sách nhóm quảng cáo",0,31533,"Đang diễn ra",1075,29333.023256,27,,1167.888889,2.511628,40,3.72093,788.325,1,31533
2026-04-16,2026-04-16,MuseStudio-quanchunbong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",111,actions:link_click,2390,1.070293,554.35135135,"Sử dụng ngân sách nhóm quảng cáo",0,61533,"Đang diễn ra",2558,24055.121188,111,,554.351351,4.339328,172,6.724003,357.75,,
2026-04-16,2026-04-16,MuseStudio-dephaiquaidecai-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",28,actions:link_click,1095,1.065753,990.85714286,"Sử dụng ngân sách nhóm quảng cáo",0,27744,"Đang diễn ra",1167,23773.77892,28,,990.857143,2.399314,42,3.598972,660.571429,,
2026-04-16,2026-04-16,MuseStudio-guocmikatrong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",25,actions:link_click,1033,1.09971,1137.8,"Sử dụng ngân sách nhóm quảng cáo",0,28445,"Đang diễn ra",1136,25039.612676,25,,1137.8,2.200704,41,3.609155,693.780488,,
2026-04-16,2026-04-16,MuseStudio-depbanhminuhappy-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",27,actions:link_click,1211,1.04872,1105.25925926,"Sử dụng ngân sách nhóm quảng cáo",0,29842,"Đang diễn ra",1270,23497.637795,27,,1105.259259,2.125984,34,2.677165,877.705882,1,29842
2026-04-16,2026-04-16,MuseStudio-giaycaogot5pphoino-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",22,actions:link_click,926,1.057235,1244.86363636,"Sử dụng ngân sách nhóm quảng cáo",0,27387,"Đang diễn ra",979,27974.463739,22,,1244.863636,2.247191,33,3.370787,829.909091,,
2026-04-16,2026-04-16,MuseStudio-guoccaogotmuivuong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",10,actions:link_click,692,1.073699,1945.7,"Sử dụng ngân sách nhóm quảng cáo",0,19457,"Đang diễn ra",743,26187.079408,10,,1945.7,1.345895,16,2.153432,1216.0625,,
2026-04-16,2026-04-16,MuseStudio-SetBoHePhoiSocDo-0416,not_delivering,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",137,actions:link_click,3052,1.094692,609.7080292,"Sử dụng ngân sách nhóm quảng cáo",0,83530,"Đang diễn ra",3341,25001.496558,137,,609.708029,4.100569,211,6.315474,395.876777,,
2026-04-16,2026-04-16,MuseStudio-AoKhoacDoSantin-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",27,actions:link_click,1216,1.064145,1153.51851852,"Sử dụng ngân sách nhóm quảng cáo",0,31145,"Đang diễn ra",1294,24068.77898,27,,1153.518519,2.086553,38,2.936631,819.605263,,
