"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Lượt hiển thị","Người tiếp cận","Kết thúc","Cài đặt ghi nhận"
2026-04-16,2026-04-16,MuseStudio-damthietkeevii-0416,not_delivering,31,actions:link_click,979.51612903,"Sử dụng ngân sách nhóm quảng cáo",0,30365,1246,1121,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-16,2026-04-16,MuseStudio-chanvayrenngan-0416,inactive,27,actions:link_click,1167.88888889,"Sử dụng ngân sách nhóm quảng cáo",0,31533,1075,1029,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-16,2026-04-16,MuseStudio-quanchunbong-0416,not_delivering,111,actions:link_click,554.35135135,"Sử dụng ngân sách nhóm quảng cáo",0,61533,2558,2390,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-16,2026-04-16,MuseStudio-dephaiquaidecai-0416,not_delivering,28,actions:link_click,990.85714286,"Sử dụng ngân sách nhóm quảng cáo",0,27744,1167,1095,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-16,2026-04-16,MuseStudio-guocmikatrong-0416,inactive,25,actions:link_click,1137.8,"Sử dụng ngân sách nhóm quảng cáo",0,28445,1136,1033,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-16,2026-04-16,MuseStudio-depbanhminuhappy-0416,inactive,27,actions:link_click,1105.25925926,"Sử dụng ngân sách nhóm quảng cáo",0,29842,1270,1211,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-16,2026-04-16,MuseStudio-giaycaogot5pphoino-0416,inactive,22,actions:link_click,1244.86363636,"Sử dụng ngân sách nhóm quảng cáo",0,27387,979,926,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-16,2026-04-16,MuseStudio-guoccaogotmuivuong-0416,not_delivering,10,actions:link_click,1945.7,"Sử dụng ngân sách nhóm quảng cáo",0,19457,743,692,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-16,2026-04-16,MuseStudio-SetBoHePhoiSocDo-0416,active,137,actions:link_click,609.7080292,"Sử dụng ngân sách nhóm quảng cáo",0,83530,3341,3052,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
2026-04-16,2026-04-16,MuseStudio-AoKhoacDoSantin-0416,inactive,27,actions:link_click,1153.51851852,"Sử dụng ngân sách nhóm quảng cáo",0,31145,1294,1216,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"
