"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên nhóm quảng cáo","Phân phối nhóm quảng cáo","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Bắt đầu","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-22,2026-04-22,"[14/4/2026] Quảng cáo Chic-Land",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách chiến dịch",0,0,"Đang diễn ra",2026-04-14,0,0,,,,,0,0,0,,
2026-04-22,2026-04-22,MuseStudio-damthietkeevii-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,107500,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-22,2026-04-22,MuseStudio-chanvayrenngan-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,107500,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-22,2026-04-22,MuseStudio-quanchunbong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,107500,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-22,2026-04-22,MuseStudio-dephaiquaidecai-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,107500,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-22,2026-04-22,MuseStudio-guocmikatrong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,107500,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-22,2026-04-22,MuseStudio-depbanhminuhappy-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,107500,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-22,2026-04-22,MuseStudio-giaycaogot5pphoino-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,107500,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-22,2026-04-22,MuseStudio-guoccaogotmuivuong-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,107500,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-22,2026-04-22,MuseStudio-SetBoHePhoiSocDo-0416,not_delivering,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",147,actions:link_click,3699,1.137064,867.38095238,177500,"Hàng ngày",127505,"Đang diễn ra",2026-04-15,4206,30315.026153,147,,867.380952,3.495007,229,5.444603,556.790393,3,42501.666667
2026-04-22,2026-04-22,MuseStudio-AoKhoacDoSantin-0416,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,107500,"Hàng ngày",0,"Đang diễn ra",2026-04-15,0,0,,,,,0,0,0,,
2026-04-22,2026-04-22,MuseStudio-dambodynuluatochau,not_delivering,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",317,actions:link_click,5565,1.067385,668.94006309,270500,"Hàng ngày",212054,"Đang diễn ra",2026-04-20,5940,35699.326599,317,,668.940063,5.3367,451,7.592593,470.186253,,
2026-04-22,2026-04-22,MuseStudio-chanvayrendai,not_delivering,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",352,actions:link_click,5600,1.099107,458.65625,"Sử dụng ngân sách chiến dịch",0,161447,"Đang diễn ra",2026-04-20,6155,26230.219334,352,,458.65625,5.718928,528,8.578392,305.770833,1,161447
