"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-18,2026-04-18,mgdan7,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",378,actions:link_click,4313,1.103872,545.3994709,882000,"Hàng ngày",206161,"Đang diễn ra",4761,43302.037387,378,,545.399471,7.939509,395,8.296576,521.926582,34,6063.558824
2026-04-18,2026-04-18,cm1,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",352,actions:link_click,5123,1.046067,510.61363636,622000,"Hàng ngày",179736,"Đang diễn ra",5359,33539.093114,352,,510.613636,6.56839,384,7.165516,468.0625,21,8558.857143
2026-04-18,2026-04-18,op5,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",336,actions:link_click,4450,1.05191,531.15178571,622000,"Hàng ngày",178467,"Đang diễn ra",4681,38125.827815,336,,531.151786,7.177953,430,9.186071,415.039535,,
2026-04-18,2026-04-18,mgd12,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",272,actions:link_click,7073,1.075498,834.59926471,756000,"Hàng ngày",227011,"Đang diễn ra",7607,29842.382017,272,,834.599265,3.575654,451,5.92875,503.350333,2,113505.5
2026-04-18,2026-04-18,zx5,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",413,actions:link_click,7724,1.091015,1055.65617433,889111,"Hàng ngày",435986,"Đang diễn ra",8427,51736.798386,413,,1055.656174,4.900914,680,8.069301,641.155882,5,87197.2
2026-04-18,2026-04-18,mgd1,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",34,actions:link_click,572,1.073427,923.61764706,91000,"Hàng ngày",31403,"Đang diễn ra",614,51144.95114,34,,923.617647,5.537459,44,7.166124,713.704545,,
2026-04-18,2026-04-18,mgd2,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,51500,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,mgd3,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,51000,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,mgd4,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",140,actions:link_click,3561,1.043527,805.39285714,276400,"Hàng ngày",112755,"Đang diễn ra",3716,30343.110872,140,,805.392857,3.767492,207,5.570506,544.710145,,
2026-04-18,2026-04-18,mgd5,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",305,actions:link_click,4290,1.109557,338.36065574,366200,"Hàng ngày",103200,"Đang diễn ra",4760,21680.672269,305,,338.360656,6.407563,747,15.693277,138.15261,4,25800
2026-04-18,2026-04-18,mgd6,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,51600,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,mgd8,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,51600,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,mgd9,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,51122,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,mgd10,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,51452,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,mgd11,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",122,actions:link_click,4448,1.035522,909.95901639,156425,"Hàng ngày",111015,"Đang diễn ra",4606,24102.257924,122,,909.959016,2.648719,206,4.472427,538.907767,2,55507.5
2026-04-18,2026-04-18,mgdan2,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",175,actions:link_click,2363,1.132882,577.92571429,277000,"Hàng ngày",101137,"Đang diễn ra",2677,37779.977587,175,,577.925714,6.537168,176,6.574524,574.642045,9,11237.444444
2026-04-18,2026-04-18,mgdan6,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",158,actions:link_click,2501,1.067173,629.96835443,368000,"Hàng ngày",99535,"Đang diễn ra",2669,37292.993631,158,,629.968354,5.91982,168,6.294492,592.470238,15,6635.666667
2026-04-18,2026-04-18,mgdan8,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",121,actions:link_click,2752,1.099927,906.99173554,158000,"Hàng ngày",109746,"Đang diễn ra",3027,36255.698712,121,,906.991736,3.997357,172,5.682194,638.05814,1,109746
2026-04-18,2026-04-18,mgdan9,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",158,actions:link_click,2632,1.096885,673.82911392,207234,"Hàng ngày",106465,"Đang diễn ra",2887,36877.381365,158,,673.829114,5.472809,246,8.520956,432.784553,,
2026-04-18,2026-04-18,mgdan10,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",176,actions:link_click,3147,1.074992,592.78977273,367489,"Hàng ngày",104331,"Đang diễn ra",3383,30839.787171,176,,592.789773,5.202483,253,7.478569,412.375494,,
2026-04-18,2026-04-18,nlmgd1,active,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",152,actions:link_click,2038,1.131992,407.48026316,201000,"Hàng ngày",61937,"Đang diễn ra",2307,26847.420893,152,,407.480263,6.588643,169,7.325531,366.491124,12,5161.416667
2026-04-18,2026-04-18,nlmgd2,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",11,actions:link_click,440,1.018182,1232.36363636,50000,"Hàng ngày",13556,"Đang diễn ra",448,30258.928571,11,,1232.363636,2.455357,23,5.133929,589.391304,1,13556
2026-04-18,2026-04-18,nlmgd3,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",123,actions:link_click,2844,1.100914,564.92682927,156000,"Hàng ngày",69486,"Đang diễn ra",3131,22192.909614,123,,564.926829,3.928457,146,4.663047,475.931507,16,4342.875
2026-04-18,2026-04-18,nlmgd4,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",33,actions:link_click,575,1.029565,567.48484848,50000,"Hàng ngày",18727,"Đang diễn ra",592,31633.445946,33,,567.484848,5.574324,37,6.25,506.135135,4,4681.75
